Age,Gender,Time
36,"{'Woman': np.float32(12.524462), 'Man': np.float32(87.47553)}",2025-08-01 08:56:05
36,"{'Woman': np.float32(12.445368), 'Man': np.float32(87.55464)}",2025-08-01 08:56:07
36,"{'Woman': np.float32(12.445112), 'Man': np.float32(87.55489)}",2025-08-01 08:56:07
36,"{'Woman': np.float32(12.447479), 'Man': np.float32(87.55252)}",2025-08-01 08:56:08
36,"{'Woman': np.float32(12.450559), 'Man': np.float32(87.549446)}",2025-08-01 08:56:09
36,"{'Woman': np.float32(12.403772), 'Man': np.float32(87.59622)}",2025-08-01 08:56:10
36,"{'Woman': np.float32(12.446058), 'Man': np.float32(87.55394)}",2025-08-01 08:56:11
36,"{'Woman': np.float32(12.378157), 'Man': np.float32(87.62184)}",2025-08-01 08:56:12
36,"{'Woman': np.float32(12.414093), 'Man': np.float32(87.58591)}",2025-08-01 08:56:13
36,"{'Woman': np.float32(12.3049135), 'Man': np.float32(87.69509)}",2025-08-01 08:56:14
36,"{'Woman': np.float32(12.263994), 'Man': np.float32(87.73601)}",2025-08-01 08:56:15
36,"{'Woman': np.float32(12.378715), 'Man': np.float32(87.62129)}",2025-08-01 08:56:16
36,"{'Woman': np.float32(12.178301), 'Man': np.float32(87.8217)}",2025-08-01 08:56:17
36,"{'Woman': np.float32(12.296485), 'Man': np.float32(87.703514)}",2025-08-01 08:56:18
36,"{'Woman': np.float32(12.24893), 'Man': np.float32(87.751076)}",2025-08-01 08:56:19
36,"{'Woman': np.float32(12.288501), 'Man': np.float32(87.711494)}",2025-08-01 08:56:20
36,"{'Woman': np.float32(12.372411), 'Man': np.float32(87.62759)}",2025-08-01 08:56:21
36,"{'Woman': np.float32(12.377522), 'Man': np.float32(87.622475)}",2025-08-01 08:56:22
36,"{'Woman': np.float32(12.42935), 'Man': np.float32(87.57065)}",2025-08-01 08:56:23
36,"{'Woman': np.float32(12.47265), 'Man': np.float32(87.52734)}",2025-08-01 08:56:24
36,"{'Woman': np.float32(12.383558), 'Man': np.float32(87.61644)}",2025-08-01 08:56:25
36,"{'Woman': np.float32(12.446872), 'Man': np.float32(87.55313)}",2025-08-01 08:56:26
36,"{'Woman': np.float32(12.504464), 'Man': np.float32(87.49554)}",2025-08-01 08:56:27
36,"{'Woman': np.float32(12.585391), 'Man': np.float32(87.414604)}",2025-08-01 08:56:28
36,"{'Woman': np.float32(12.637424), 'Man': np.float32(87.36258)}",2025-08-01 08:56:29
36,"{'Woman': np.float32(12.558275), 'Man': np.float32(87.44173)}",2025-08-01 08:56:30
36,"{'Woman': np.float32(12.349234), 'Man': np.float32(87.65077)}",2025-08-01 08:56:31
36,"{'Woman': np.float32(12.391262), 'Man': np.float32(87.608734)}",2025-08-01 08:56:32
36,"{'Woman': np.float32(12.539503), 'Man': np.float32(87.460495)}",2025-08-01 08:56:33
36,"{'Woman': np.float32(12.497783), 'Man': np.float32(87.50221)}",2025-08-01 08:56:34
36,"{'Woman': np.float32(12.423054), 'Man': np.float32(87.576935)}",2025-08-01 08:56:35
36,"{'Woman': np.float32(12.464079), 'Man': np.float32(87.53593)}",2025-08-01 08:56:36
36,"{'Woman': np.float32(12.528984), 'Man': np.float32(87.47102)}",2025-08-01 08:56:37
36,"{'Woman': np.float32(12.497139), 'Man': np.float32(87.50286)}",2025-08-01 08:56:38
35,"{'Woman': np.float32(12.296835), 'Man': np.float32(87.70317)}",2025-08-01 08:56:39
36,"{'Woman': np.float32(12.577976), 'Man': np.float32(87.42202)}",2025-08-01 08:56:40
36,"{'Woman': np.float32(12.485808), 'Man': np.float32(87.51419)}",2025-08-01 08:56:41
36,"{'Woman': np.float32(12.460297), 'Man': np.float32(87.53971)}",2025-08-01 08:56:42
36,"{'Woman': np.float32(12.321857), 'Man': np.float32(87.67814)}",2025-08-01 08:56:43
36,"{'Woman': np.float32(12.36745), 'Man': np.float32(87.632545)}",2025-08-01 08:56:44
36,"{'Woman': np.float32(12.414314), 'Man': np.float32(87.58569)}",2025-08-01 08:56:45
36,"{'Woman': np.float32(12.401323), 'Man': np.float32(87.59868)}",2025-08-01 08:56:46
36,"{'Woman': np.float32(12.411106), 'Man': np.float32(87.5889)}",2025-08-01 08:56:47
35,"{'Woman': np.float32(12.295868), 'Man': np.float32(87.704124)}",2025-08-01 08:56:48
36,"{'Woman': np.float32(11.889952), 'Man': np.float32(88.11005)}",2025-08-01 08:56:49
28,"{'Woman': np.float32(26.46861), 'Man': np.float32(73.53139)}",2025-08-01 08:56:50
27,"{'Woman': np.float32(24.2601), 'Man': np.float32(75.7399)}",2025-08-01 08:56:51
28,"{'Woman': np.float32(20.178215), 'Man': np.float32(79.821785)}",2025-08-01 08:56:52
26,"{'Woman': np.float32(15.219765), 'Man': np.float32(84.780235)}",2025-08-01 08:56:53
27,"{'Woman': np.float32(9.035784), 'Man': np.float32(90.96422)}",2025-08-01 08:56:54
26,"{'Woman': np.float32(6.121423), 'Man': np.float32(93.87858)}",2025-08-01 08:56:55
27,"{'Woman': np.float32(4.2221117), 'Man': np.float32(95.77789)}",2025-08-01 08:56:56
27,"{'Woman': np.float32(4.1546993), 'Man': np.float32(95.8453)}",2025-08-01 08:56:57
28,"{'Woman': np.float32(2.854633), 'Man': np.float32(97.14536)}",2025-08-01 08:56:58
28,"{'Woman': np.float32(2.8099911), 'Man': np.float32(97.19001)}",2025-08-01 08:56:59
35,"{'Woman': np.float32(12.51493), 'Man': np.float32(87.48508)}",2025-08-01 08:57:00
32,"{'Woman': np.float32(4.9970384), 'Man': np.float32(95.00297)}",2025-08-01 08:57:01
28,"{'Woman': np.float32(5.3580866), 'Man': np.float32(94.641914)}",2025-08-01 08:57:02
28,"{'Woman': np.float32(7.208582), 'Man': np.float32(92.79142)}",2025-08-01 08:57:03
35,"{'Woman': np.float32(11.864916), 'Man': np.float32(88.13508)}",2025-08-01 08:57:04
26,"{'Woman': np.float32(7.437431), 'Man': np.float32(92.56258)}",2025-08-01 08:57:05
35,"{'Woman': np.float32(11.5499115), 'Man': np.float32(88.45009)}",2025-08-01 08:57:06
